date,daily new cases,daily deaths,Hospitalised Cases,Severe Cases,Cases In ICUs,Incubated Cases,daily tests performed,total cases,total deaths,total tests
9/3/2020,2,,:,:,:,:,:,2,0,:
10/3/2020,1,,:,:,:,:,:,3,0,:
11/3/2020,3,,:,:,:,:,:,6,0,:
12/3/2020,0,,:,:,:,:,:,6,0,:
13/3/2020,8,,:,:,:,:,:,14,0,:
14/3/2020,12,,:,:,:,:,:,26,0,:
15/3/2020,0,,:,:,:,:,:,33,0,:
16/3/2020,7,,:,:,:,:,:,46,0,:
17/3/2020,13,,:,:,:,:,:,49,0,:
18/3/2020,3,,:,:,:,:,:,58,0,:
19/3/2020,18,,:,:,:,:,:,67,0,:
20/3/2020,8,,:,:,:,:,:,75,0,:
21/3/2020,9,1,:,:,:,:,:,84,1,:
22/3/2020,11,,:,:,:,:,:,95,1,:
23/3/2020,21,,:,:,:,:,:,116,1,:
24/3/2020,8,1,24,:,4,4,:,124,2,:
25/3/2020,8,,23,:,5,5,:,132,2,:
26/3/2020,14,,21,:,6,6,:,146,2,:
27/3/2020,16,2,29,:,8,7,:,162,4,:
28/3/2020,17,,34,:,11,10,:,179,4,5917
29/3/2020,35,,33,:,9,9,530,214,4,6447
30/3/2020,16,2,34,:,10,10,400,230,6,6847
31/3/2020,32,,40,:,11,11,550,262,6,7397
1/4/2020,58,1,54,:,11,11,779,320,7,8176
2/4/2020,36,1,51,:,9,9,603,356,8,8779
3/4/2020,40,1,55,:,12,11,668,396,9,9447
4/4/2020,30,,56,:,11,10,698,426,9,10145
5/4/2020,20,,55,:,11,11,792,446,9,10937
6/4/2020,19,,48,:,11,11,718,465,9,11655
7/4/2020,29,,51,:,13,13,1353,494,9,13008
8/4/2020,32,,45,:,14,13,1256,526,9,14264
9/4/2020,38,1,51,:,12,12,1216,564,10,15480
10/4/2020,31,,50,:,12,11,819,595,10,16299
11/4/2020,21,,45,:,12,8,811,616,10,17110
12/4/2020,17,1,42,:,13,8,804,633,11,17914
