Date,District,Total_Cases(N),Total_Cases(%),With_Travel_History(N),With_Travel_History(%),Uknown(N),Unknown(%),Local_Infenctions(N),Local_Infenctions(%),Local_Infenctions(N_per_100000),Population
14/4/2020,Ammochostos,38,5.5,7,7.4,8,6.5,23,4.8,47.7,48200
14/4/2020,Larnaca,198,28.4,13,13.7,41,33.3,144,30.1,98.0,147000
14/4/2020,Aradippou (subset of Larnaca),113,16.2,7,7.4,29,23.6,77,16.1,400.5,19228
14/4/2020,Limassol,75,10.8,21,22.1,10,8.1,44,9.2,18.0,244900
14/4/2020,Nicosia,245,35.2,36,37.9,40,32.5,169,35.3,49.5,341700
14/4/2020,Pafos,124,17.8,7,7.4,21,17.1,96,20.0,102.0,94100
14/4/2020,Other*,17,2.4,11,11.6,3,2.4,3,0.6,,
14/4/2020,Total,697,100.0,95,100.0,123,100.0,479,100.0,54.7,875900
21/4/2020,Ammochostos,40,5.1,8,7.3,9,6.5,23,4.3,47.7,48200
21/4/2020,Larnaca,209,26.7,16,14.5,44,31.7,149,27.9,101.4,147000
21/4/2020,Aradippou (subset of Larnaca),119,15.2,10,9.1,32,23.0,77,14.4,400.5,19228
21/4/2020,Limassol,83,10.6,22,20.0,12,8.6,49,9.2,20.0,244900
21/4/2020,Nicosia,290,37.0,41,37.3,48,34.5,201,37.6,58.8,341700
21/4/2020,Pafos,146,18.6,11,10.0,26,18.7,109,20.4,115.8,94100
21/4/2020,Other*,16,2.0,12,10.9,0,0.0,4,0.7,,
21/4/2020,Total,784,100.0,110,100.0,139,100.0,535,100.0,61.1,875900
28/4/2020,Ammochostos,40,4.8,8,6.9,9,6.4,23,4.0,47.7,48200
28/4/2020,Larnaca,218,26.1,16,13.8,46,32.6,156,26.9,106.1,147000
28/4/2020,Aradippou (subset of Larnaca),122,14.6,10,8.6,32,22.7,80,13.8,416.1,19228
28/4/2020,Limassol,91,10.9,24,20.7,13,9.2,54,9.3,22.0,244900
28/4/2020,Nicosia,317,37.9,45,38.8,46,32.6,226,39.0,66.1,341700
28/4/2020,Pafos,153,18.3,11,9.5,26,18.4,116,20.0,123.3,94100
28/4/2020,Other*,17,2.0,12,10.3,1,0.7,4,0.7,,
28/4/2020,Total,836,100.0,116,100.0,141,100.0,579,100.0,66.1,875900
5/5/2020,Ammochostos,41,4.7,9,7.2,9,6.2,23,3.8,47.7,48200
5/5/2020,Larnaca,229,26.1,17,13.6,47,32.4,165,27.1,112.2,147000
5/5/2020,Aradippou (subset of Larnaca),121,13.8,10,8.0,33,22.8,78,12.8,405.7,19228
5/5/2020,Limassol,97,11.0,27,21.6,14,9.7,56,9.2,22.9,244900
5/5/2020,Nicosia,337,38.4,47,37.6,48,33.1,242,39.8,70.8,341700
5/5/2020,Pafos,155,17.7,11,8.8,26,17.9,118,19.4,125.4,94100
5/5/2020,Other*,19,2.2,14,11.2,1,0.7,4,0.7,,
5/5/2020,Total,878,100.0,125,100.0,145,100.0,608,100.0,69.4,875900
12/5/2020,Ammochostos,41,4.5,9,7.0,9,6.3,23,3.6,47.7,48200
12/5/2020,Larnaca,234,25.9,18,14.0,47,32.6,169,26.8,115.0,147000
12/5/2020,Aradippou (subset of Larnaca),123,13.6,10,7.8,33,22.9,80,12.7,416.1,19228
12/5/2020,Limassol,103,11.4,28,21.7,14,9.7,61,9.7,24.9,244900
12/5/2020,Nicosia,350,38.7,47,36.4,48,33.3,255,40.4,74.6,341700
12/5/2020,Pafos,155,17.1,11,8.5,25,17.4,119,18.9,126.5,94100
12/5/2020,Other*,21,2.3,16,12.4,1,0.7,4,0.6,,
12/5/2020,Total,904,100.0,129,100.0,144,100.0,631,100.0,72.0,875900
19/5/2020,Ammochostos,41,4.5,9,6.9,9,6.2,23,3.6,47.7,48200
19/5/2020,Larnaca,239,26.0,18,13.8,48,33.1,173,26.9,117.7,147000
19/5/2020,Aradippou (subset of Larnaca),125,13.6,10,7.7,33,22.8,82,12.8,426.5,19228
19/5/2020,Limassol,103,11.2,28,21.5,14,9.7,61,9.5,24.9,244900
19/5/2020,Nicosia,356,38.8,48,36.9,48,33.1,260,40.4,76.1,341700
19/5/2020,Pafos,158,17.2,11,8.5,25,17.2,122,19.0,129.6,94100
19/5/2020,Other*,21,2.3,16,12.3,1,0.7,4,0.6,,
19/5/2020,Total,918,100.0,130,100.0,145,100.0,643,100.0,73.4,875900
26/5/2020,Ammochostos,43,4.6,10,7.4,9,6.2,24,3.6,49.8,48200
26/5/2020,Larnaca,242,25.8,18,13.2,48,33.1,176,26.7,119.7,147000
26/5/2020,Aradippou (subset of Larnaca),125,13.3,10,7.4,33,22.8,82,12.5,426.5,19228
26/5/2020,Limassol,107,11.4,32,23.5,14,9.7,61,9.3,24.9,244900
26/5/2020,Nicosia,364,38.8,49,36.0,48,33.1,267,40.6,78.1,341700
26/5/2020,Pafos,161,17.1,11,8.1,25,17.2,125,19.0,132.8,94100
26/5/2020,Other*,22,2.3,16,11.8,1,0.7,5,0.8,,
26/5/2020,Total,939,100.0,136,100.0,145,100.0,658,100.0,75.1,875900
2/6/2020,Ammochostos,44,4.6,10,7.1,9,6.2,25,3.7,51.9,48200
2/6/2020,Larnaca,245,25.7,19,13.6,48,33.1,178,26.7,121.1,147000
2/6/2020,Aradippou (subset of Larnaca),126,13.2,10,7.1,33,22.8,83,12.4,431.7,19228
2/6/2020,Limassol,110,11.6,33,23.6,14,9.7,63,9.4,25.7,244900
2/6/2020,Nicosia,369,38.8,50,35.7,48,33.1,271,40.6,79.3,341700
2/6/2020,Pafos,161,16.9,11,7.9,25,17.2,125,18.7,132.8,94100
2/6/2020,Other*,23,2.4,17,12.1,1,0.7,5,0.7,,
